phibin,etabin,calib_factor
7, 42, 1.18899
7, 43, 1.10812
7, 44, 0.857651
7, 45, 1.13663
7, 46, 1.11052
7, 47, 1.04026
7, 48, 0.688777
7, 49, 1.20333
7, 50, 0.912129
7, 51, 0.959029
7, 52, 1.43998
7, 53, 1.52067
7, 54, 1.06319
7, 55, 1.14024
7, 56, 0.873546
7, 57, 0.765928
7, 58, 0.740731
7, 59, 0.68852
7, 60, 0.934904
7, 61, 1.03752
7, 62, 0.682182
7, 63, 0.768308
7, 64, 1.1586
7, 65, 0.924524
7, 66, 0.994483
7, 67, 0.994503
7, 68, 0.932058
7, 69, 0.831965
7, 70, 0.806603
7, 71, 0.854023
7, 72, 0.87057
7, 73, 0.791479
7, 74, 1.1324
7, 75, 1.15918
7, 76, 0.994524
7, 77, 0.572651
7, 78, 1.00784
7, 79, 1.03278
7, 80, 1.08502
7, 81, 1.26241
7, 82, 1.38921
7, 83, 1.05197
7, 84, 0.904415
7, 85, 0.840077
7, 86, 1.05231
7, 87, 1.28473
7, 88, 0.994541
7, 89, 0.994501
7, 90, 1.22504
7, 91, 1.23178
7, 92, 1.09703
7, 93, 0.831689
7, 94, 1.08739
7, 95, 1.64709
8, 0, 0.785362
8, 1, 1.44426
8, 2, 1.23356
8, 3, 1.16798
8, 4, 1.10982
8, 5, 1.08212
8, 6, 1.11765
8, 7, 1.07534
8, 8, 0.994465
8, 9, 1.66679
8, 10, 1.05375
8, 11, 0.903583
8, 12, 0.907646
8, 13, 0.904433
8, 14, 0.978653
8, 15, 0.957101
8, 16, 1.10396
8, 17, 0.926008
8, 18, 0.973912
8, 19, 1.01301
8, 20, 1.18162
8, 21, 1.14545
8, 22, 1.17476
8, 23, 1.17187
8, 24, 1.06084
8, 25, 0.87613
8, 26, 1.02824
8, 27, 0.959816
8, 28, 1.18953
8, 29, 1.1141
8, 30, 1.00501
8, 31, 1.00373
8, 32, 1.19774
8, 33, 1.13566
8, 34, 0.978332
8, 35, 0.86127
8, 36, 1.09463
8, 37, 0.970891
8, 38, 1.04104
8, 39, 1.07189
8, 40, 1.17498
8, 41, 1.08886
8, 42, 1.29043
8, 43, 1.19936
8, 44, 1.21419
8, 45, 1.12568
8, 46, 1.30957
8, 47, 0.71749
8, 48, 0.87533
8, 49, 1.42931
8, 50, 1.18592
8, 51, 1.24089
8, 52, 0.933971
8, 53, 1.00533
8, 54, 0.981097
8, 55, 1.04769
8, 56, 1.15926
8, 57, 1.13361
8, 58, 1.21868
8, 59, 1.26692
8, 60, 1.00555
8, 61, 1.25472
8, 62, 0.950766
8, 63, 1.01984
8, 64, 0.978268
8, 65, 0.991588
8, 66, 0.875597
8, 67, 1.05684
8, 68, 1.05164
8, 69, 1.08511
8, 70, 0.81083
8, 71, 0.840593
8, 72, 1.08134
8, 73, 0.929678
8, 74, 1.06022
8, 75, 1.02721
8, 76, 0.940653
8, 77, 0.915856
8, 78, 0.88108
8, 79, 1.04871
8, 80, 1.06231
8, 81, 1.07357
8, 82, 1.07086
8, 83, 1.00155
8, 84, 1.00304
8, 85, 1.27904
8, 86, 1.06441
8, 87, 1.14378
8, 88, 1.04325
8, 89, 1.29087
8, 90, 1.11418
8, 91, 1.10411
8, 92, 1.16497
8, 93, 1.20561
8, 94, 1.19124
8, 95, 0.884971
9, 0, 0.994435
9, 1, 0.855215
9, 2, 0.978233
9, 3, 0.987267
9, 4, 1.17193
9, 5, 1.01334
9, 6, 0.889519
9, 7, 0.982633
9, 8, 1.50111
9, 9, 1.52502
9, 10, 0.905458
9, 11, 1.01479
9, 12, 0.951441
9, 13, 0.853302
9, 14, 0.706025
9, 15, 0.991779
9, 16, 0.895158
9, 17, 0.984098
9, 18, 0.822183
9, 19, 0.897199
9, 20, 1.06734
9, 21, 1.0213
9, 22, 1.01014
9, 23, 1.0736
9, 24, 0.967986
9, 25, 0.965592
9, 26, 1.00481
9, 27, 0.973286
9, 28, 1.00868
9, 29, 0.987341
9, 30, 0.904905
9, 31, 0.959447
9, 32, 0.906208
9, 33, 1.0814
9, 34, 1.10878
9, 35, 0.899814
9, 36, 0.934252
9, 37, 1.03745
9, 38, 1.03295
9, 39, 0.994856
9, 40, 0.979991
9, 41, 0.993003
9, 42, 1.02109
9, 43, 1.11369
9, 44, 1.0497
9, 45, 0.875934
9, 46, 0.895521
9, 47, 0.858029
9, 48, 0.93551
9, 49, 1.0791
9, 50, 0.898987
9, 51, 0.788237
9, 52, 0.864214
9, 53, 0.867159
9, 54, 0.962905
9, 55, 1.00701
9, 56, 1.05608
9, 57, 1.15705
9, 58, 1.13448
9, 59, 1.10406
9, 60, 0.909712
9, 61, 0.965131
9, 62, 0.89946
9, 63, 0.949754
9, 64, 0.913643
9, 65, 0.988976
9, 66, 0.923106
9, 67, 1.05322
9, 68, 1.0029
9, 69, 0.987047
9, 70, 0.892367
9, 71, 0.820369
9, 72, 1.05767
9, 73, 1.02557
9, 74, 0.995973
9, 75, 1.02367
9, 76, 0.954335
9, 77, 0.946257
9, 78, 0.979641
9, 79, 0.999804
9, 80, 0.907062
9, 81, 0.968334
9, 82, 0.959467
9, 83, 1.01725
9, 84, 0.888616
9, 85, 0.889691
9, 86, 0.873869
9, 87, 0.828362
9, 88, 0.92771
9, 89, 0.90856
9, 90, 0.890751
9, 91, 0.855203
9, 92, 0.928122
9, 93, 0.904277
9, 94, 0.925621
9, 95, 0.826563
10, 0, 0.994463
10, 1, 0.943723
10, 2, 0.853646
10, 3, 0.95113
10, 4, 1.32365
10, 5, 1.37976
10, 6, 0.981151
10, 7, 0.892429
10, 8, 0.804073
10, 9, 0.796764
10, 10, 1.01053
10, 11, 0.958161
10, 12, 1.08807
10, 13, 1.11047
10, 14, 0.937276
10, 15, 1.00182
10, 16, 0.93733
10, 17, 0.882417
10, 18, 0.978064
10, 19, 0.944813
10, 20, 0.917062
10, 21, 0.905954
10, 22, 1.00169
10, 23, 0.917726
10, 24, 1.0355
10, 25, 1.00865
10, 26, 1.00305
10, 27, 1.00076
10, 28, 0.873541
10, 29, 0.927449
10, 30, 1.04181
10, 31, 1.03023
10, 32, 1.05854
10, 33, 0.985612
10, 34, 0.916845
10, 35, 0.821554
10, 36, 0.776907
10, 37, 0.843648
10, 38, 0.930099
10, 39, 0.857473
10, 40, 0.978753
10, 41, 0.942791
10, 42, 1.05488
10, 43, 1.0189
10, 44, 0.9483
10, 45, 0.853717
10, 46, 0.903258
10, 47, 0.765028
10, 48, 0.915867
10, 49, 0.88693
10, 50, 1.05282
10, 51, 1.03352
10, 52, 0.60843
10, 53, 0.790893
10, 54, 0.757174
10, 55, 0.790629
10, 56, 1.04064
10, 57, 0.944989
10, 58, 0.937793
10, 59, 0.963492
10, 60, 0.923202
10, 61, 0.806199
10, 62, 0.936803
10, 63, 1.05568
10, 64, 1.07495
10, 65, 1.04732
10, 66, 0.963711
10, 67, 0.980199
10, 68, 0.925912
10, 69, 0.870046
10, 70, 0.810599
10, 71, 1.00595
10, 72, 0.810947
10, 73, 0.912564
10, 74, 0.904213
